Title,Description,Image URL,Article URL,Author Name,Content Date,Section,Revista
Vecinos de Quillacollo bloquean Blanco Galindo por obra vial; ¿Qué dice la Gobernación?,"La extrema medida de presión, ejecutada por vecinos de los 10 distritos, es de forma “indefinida”.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/24/2024052410284996595.jpg",https://www.opinion.com.bo/articulo/cochabamba/vecinos-quillacollo-bloquean-blanco-galindo-obra-vial-mir-que-dice-gobernacion/20240524104014946226.html,Violeta Soria,2024-05-24,Cochabamba,opinion
Manfred se ‘despega’ de alianzas opositoras que van contra el MAS,"La oposición política retomó la idea de trabajar en un solo frente para enfrentar al Movimiento Al Socialismo (MAS). En pasados días, Samuel Doria Medina reveló que Carlos Mesa y Creemos se inclinan por esta posibilidad, sin embargo, el alcalde Manfred Reyes Villa dijo que no...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/23/2024052322084850723.jpg",https://www.opinion.com.bo/articulo/cochabamba/manfred-despega-alianzas-opositoras-que-van-mas/20240524000029946196.html,REDACCIÓN,2024-05-24,Cochabamba,opinion
"Alcaldía aplica micropavimentado, nueva tecnología en vías de la ciudad","Se trata de un procedimiento de reciclado y tratamiento superficial. Los trabajos se realizarán en 12 vías de las zonas centro, norte y sur del municipio.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/23/2024052322033599993.jpg",https://www.opinion.com.bo/articulo/cochabamba/alcaldia-aplica-micropavimentado-nueva-tecnologia-vias-ciudad/20240524000020946194.html,REDACCIÓN,2024-05-24,Cochabamba,opinion
Evismo observa estudios y se opone a aprobar créditos que “no ameriten”,"La evidente división entre arcistas y evistas del MAS-IPSP se expone en distintos niveles de Gobierno, instituciones y organizaciones.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/23/2024052321554620871.jpg",https://www.opinion.com.bo/articulo/cochabamba/evismo-observa-estudios-opone-aprobar-creditos-que-ameriten/20240524000018946187.html,MELISSA REVOLLO P.,2024-05-24,Cochabamba,opinion
Cocaleros instalan vigilia en el Trópico de Cochabamba,"Leonardo Loza, senador del ala “evista” (afín a Evo Morales) del Movimiento Al Socialismo – Instrumento Político por la Soberanía de los Pueblos (MAS-IPSP), informó este jueves que las Seis Federaciones del Trópico de Cochabamba declararon estado de emergencia e instalaron...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/23/2024052321573137229.jpg",https://www.opinion.com.bo/articulo/cochabamba/cocaleros-instalan-vigilia-tropico-cochabamba/20240524000009946189.html,REDACCIÓN,2024-05-24,Cochabamba,opinion
Concejo aprueba comodato de centro Ticti Norte a Gobernación,"El pleno del Concejo Municipal de Cochabamba trató y aprobó en sesión de este jueves el Contrato de Préstamo de Uso o Comodato del Centro de Salud Ticti Norte, situado en la zona de Condebamba, Distrito N° 2, en favor del Gobierno Autónomo Departamental de Cochabamba,...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/20/2024052022294023621.jpg",https://www.opinion.com.bo/articulo/cochabamba/concejo-aprueba-comodato-centro-ticti-norte-gobernacion/20240524000004946190.html,REDACCIÓN,2024-05-24,Cochabamba,opinion
Solares recibe reconocimiento y posesiona a directorio de Cadeco,"El gerente de COBOCE, junto con su directiva saliente, fue honrado por la Cámara Departamental de la Construcción, y tomó juramento a los nuevos directivos para el período 2024-2025.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/23/2024052322261822025.jpg",https://www.opinion.com.bo/articulo/cochabamba/solares-recibe-reconocimiento-posesiona-directorio-cadeco/20240524000001946208.html,REDACCIÓN,2024-05-24,Cochabamba,opinion
CADECO renueva directorio y entrega reconocimiento a Gerente de COBOCE R.L.,"El evento se desarrolló en el Centro de Eventos el Portal, y contó con la participación de diferentes autoridades del rubro, en una velada en la que se se destacó el ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/23/2024052322055669452.jpg",https://www.opinion.com.bo/articulo/cochabamba/cadeco-renueva-directorio-entrega-reconocimiento-gerente-coboce-r-l/20240523220605946193.html,REDACCIÓN,2024-05-23,Cochabamba,opinion
¡A sacar las chompas y chalinas! Senamhi pronostica ingreso de frente frío a la Llajta,"Además de la Llajta, el frente frío que llegará con una “descenso brusco de temperaturas” desde mañana viernes también golpeará a Tarija, Chuquisaca, Santa Cruz, Beni y Pando.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2023/06/20/2023062023253430640.jpg",https://www.opinion.com.bo/articulo/cochabamba/sacar-chompas-chalinas-senamhi-pronostica-ingreso-frente-frio-llajta/20240523164011946143.html,Violeta Soria,2024-05-23,Cochabamba,opinion
"Recarpeteado con tecnología: 'como en EEUU', vías de la Llajta tendrán micropavimento","Con esta nueva técnica de micropavimento y reciclado de la capa asfáltica, las autoridades prometen imprimir mayor resistencia a las vías estructurantes de la urbe.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/23/2024052312052233968.jpg",https://www.opinion.com.bo/articulo/cochabamba/recarpeteado-tecnologia-vias-llajta-tendran-micropavimento-como-ee-uu/20240523122530946132.html,Violeta Soria,2024-05-23,Cochabamba,opinion
¡A contrarreloj en Quillacollo!: rige cuarto intermedio y EMAQ recoge toneladas de basura,"El plazo o cuarto intermedio rige hasta las 20:00 de hoy jueves. De no dar vía libre a la construcción de la vía Caico- Cotapachi, pobladores anuncian un bloqueo  indefinido. ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/23/2024052310255453831.jpg",https://www.opinion.com.bo/articulo/cochabamba/contrarreloj-quillacollo-rige-cuarto-intermedio-retiro-basura/20240523103438946122.html,Violeta Soria,2024-05-23,Cochabamba,opinion
Inicia la cosecha; hay 40 hectáreas de semilla para garantizar alimento,"Se trata de grano certificado para la producción en beneficio de 10 municipios de la zona Andina, el Cono Sur, Valles y la región del Trópico del departamento. ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/22/2024052223311376677.jpg",https://www.opinion.com.bo/articulo/cochabamba/inicia-cosecha-40-hectareas-semilla-garantizar-alimento/20240523000051946086.html,MELISSA REVOLLO P.,2024-05-23,Cochabamba,opinion
